,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Yearly_count
1548,1549,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Mauritania,0.6
376,377,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1282,1283,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
250,251,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
1106,1107,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1393,1394,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Kenya,0.5
13,14,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,214.0,South Africa,0.6
269,270,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214.0,South Africa,0.6
863,864,RoomMaster,Existing Room member,Founding Member,Senior Leader,Parent,checked,female,366.0,South Africa,1.0
136,137,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
1442,1443,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALUSB Alumni,checked,male,214.0,Rwanda,0.6
708,709,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1250,1251,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1464,1465,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
298,299,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
893,894,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
362,363,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
183,184,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Ghana,0.5
92,93,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
198,199,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,United States of America,0.6
1400,1401,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1505,1506,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214.0,Kenya,0.6
1635,1636,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
925,926,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Ghana;United Kingdom,0.6
687,688,RoomMaster,The Room staff,Staff Membership,Senior Leader,AL Staff,checked,male,214.0,United Kingdom,0.6
931,932,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Canada,0.6
1257,1258,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
1626,1627,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214.0,South Africa,0.6
1004,1005,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
158,159,RoomMaster,The Room staff,Staff Membership,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1649,1650,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALN,checked,female,214.0,Ethiopia,0.6
1229,1230,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
535,536,RoomMaster,XL Nairobi 2019,Free Trial,Young Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1351,1352,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
1253,1254,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,female,184.0,Benin,0.5
1285,1286,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
947,948,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Spain,0.6
496,497,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Kenya,0.6
116,117,RoomMaster,Existing Room member,Founding Member,Senior Leader,Board Member,checked,male,366.0,South Africa,1.0
736,737,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
181,182,RoomMaster,The Room staff,Founding Member,Mid-career Leader,Staff Alumni,checked,female,214.0,Kenya,0.6
537,538,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1110,1111,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,United States of America,0.6
1187,1188,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,United States of America,0.6
1405,1406,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
5,6,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1368,1369,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
1542,1543,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
1602,1603,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
103,104,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
1080,1081,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,153.0,Ethiopia,0.4
1712,1713,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,United States of America,0.6
1678,1679,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
730,731,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1156,1157,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Kenya,0.6
758,759,RoomMaster,Existing Room member,Free Trial,Young Leader,ALN,checked,male,214.0,Burkina Faso,0.6
694,695,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Rwanda,0.6
1419,1420,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Kenya,0.6
1275,1276,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
212,213,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Nigeria,0.5
514,515,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
830,831,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
326,327,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,South Africa,0.6
1599,1600,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
437,438,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,214.0,Ghana,0.6
1116,1117,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1352,1353,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Ghana,0.6
1209,1210,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,United States of America,0.6
1281,1282,RoomMaster,Joined post-Sprint - June,Staff Membership,Senior Leader,AL Staff,checked,male,153.0,Rwanda,0.4
1145,1146,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,Nigeria,1.0
47,48,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Portugal;Kenya,0.6
1191,1192,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,Nigeria,0.6
748,749,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
968,969,RoomMaster,XL Nairobi 2018,Free Trial,Senior Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
768,769,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,Cote d'Ivoire,0.6
1358,1359,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United States of America,0.6
1240,1241,RoomMaster,Joined post-Sprint - May,Staff Membership,Mid-career Leader,AL Staff,checked,female,184.0,Kenya,0.5
645,646,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ethiopia,0.6
1158,1159,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,Nigeria,0.6
926,927,RoomMaster,Existing Room member,Free Trial,Young Leader,ALN,checked,male,214.0,United States of America,0.6
662,663,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
894,895,RoomMaster,XL Nairobi 2018,Free Trial,Senior Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
169,170,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,214.0,Nigeria,0.6
1305,1306,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Nigeria,0.6
11,12,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
599,600,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,male,153.0,Cote d'Ivoire,0.4
1441,1442,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Parent,checked,male,214.0,Kenya,0.6
578,579,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214.0,Kenya,0.6
172,173,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,United States of America,0.6
955,956,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,United States of America,1.0
431,432,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
225,226,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
912,913,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Rwanda,0.6
113,114,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
1005,1006,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Kingdom,0.6
473,474,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
1488,1489,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214.0,South Africa,0.6
839,840,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214.0,South Africa,0.6
128,129,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,female,366.0,Ghana,1.0
1266,1267,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
1184,1185,RoomMaster,Existing Room member,Founding Member,Senior Leader,AL Staff,checked,male,366.0,Kenya,1.0
1392,1393,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,214.0,Tanzania,0.6
344,345,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Rwanda,0.5
402,403,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Sierra Leone,0.5
642,643,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214.0,Kenya,0.6
1059,1060,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
1622,1623,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,United Kingdom,0.6
743,744,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,Nigeria,0.6
1313,1314,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214.0,Kenya,0.6
455,456,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1137,1138,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,United States of America,1.0
421,422,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,United States of America,1.0
480,481,RoomMaster,Corporate Partner - joined May,Free Trial,Senior Leader,Corporate Partner,checked,male,214.0,Kenya,0.6
1575,1576,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
858,859,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
398,399,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Ethiopia,1.0
1516,1517,RoomMaster,Joined post-Sprint - June,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,female,153.0,Rwanda,0.4
546,547,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Kingdom,0.6
1103,1104,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Nigeria,0.6
1691,1692,RoomMaster,Joined post-Sprint - July,Free Trial,Mid-career Leader,Consultant,checked,male,123.0,India,0.3
1527,1528,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Kingdom,0.6
1273,1274,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
438,439,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALN,checked,male,214.0,United States of America,0.6
1614,1615,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,184.0,Benin,0.5
384,385,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
1249,1250,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,male,366.0,Switzerland,1.0
1547,1548,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Nigeria,0.6
31,32,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,female,153.0,Cote d'Ivoire,0.4
52,53,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Ethiopia,1.0
857,858,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Nigeria,1.0
1021,1022,RoomMaster,Joined post-Sprint August,Free Trial,Mid-career Leader,Staff Nomination,checked,male,92.0,Cote d'Ivoire,0.3
1685,1686,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1350,1351,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
1672,1673,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
434,435,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
954,955,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALN,checked,female,214.0,United States of America,0.6
848,849,RoomMaster,DSXL Johannesburg,Free Trial,Senior Leader,DSXL Johannesburg,checked,male,214.0,South Africa,0.6
440,441,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
308,309,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Mauritius,0.5
1287,1288,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
1623,1624,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1134,1135,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Kenya,1.0
1500,1501,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
1194,1195,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,Uganda,0.6
1097,1098,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
59,60,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Kenya,0.5
171,172,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Kingdom,0.6
992,993,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
611,612,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1544,1545,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
268,269,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
557,558,RoomMaster,XL Nairobi 2020,Free Trial,Mid-career Leader,XL Nairobi 2020,checked,female,214.0,Kenya,0.6
34,35,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1233,1234,RoomMaster,Existing Room member,Free Trial,Senior Leader,Staff Nomination,checked,female,214.0,United States of America,0.6
107,108,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Taiwan,0.6
887,888,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Kenya,0.6
725,726,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Kenya;Sweden,0.6
127,128,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Nigeria,0.6
1692,1693,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Nigeria,0.6
745,746,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,Tanzania,0.6
1531,1532,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1645,1646,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Cameroon,0.5
936,937,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
956,957,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
835,836,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1385,1386,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
487,488,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Nigeria,0.6
223,224,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1009,1010,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Nigeria,0.6
1510,1511,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Kenya,0.6
1094,1095,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1688,1689,RoomMaster,AIIP 2020,Free Trial,Senior Leader,AIIP 2020,checked,male,214.0,Ethiopia,0.6
292,293,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1248,1249,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
216,217,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1219,1220,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Uganda,0.5
15,16,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
23,24,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,Member Nomination,checked,female,214.0,South Africa,0.6
1032,1033,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1617,1618,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Nigeria,1.0
86,87,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
479,480,RoomMaster,ALU Staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
153,154,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
904,905,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Rwanda,0.5
1348,1349,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
215,216,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Tanzania,0.6
647,648,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Kenya,1.0
1303,1304,RoomMaster,Joined post-Sprint - June,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,153.0,Kenya,0.4
1288,1289,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,male,153.0,Cote d'Ivoire,0.4
1371,1372,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,United Kingdom,1.0
1088,1089,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,female,214.0,South Africa,0.6
1024,1025,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,United States of America,0.6
1590,1591,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214.0,Ghana,0.6
1597,1598,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALU Alumni,checked,male,214.0,Mauritius,0.6
970,971,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1309,1310,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214.0,Nigeria,0.6
1268,1269,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1006,1007,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Corporate Partner,checked,female,214.0,Ghana,0.6
1,2,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
134,135,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Nigeria,1.0
1176,1177,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Nigeria,0.6
37,38,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,United States of America,0.6
559,560,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,South Africa,0.6
969,970,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,171.0,Canadian,0.5
57,58,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,214.0,South Africa,0.6
1280,1281,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
1237,1238,RoomMaster,Existing Room member,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
1498,1499,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Mauritania,0.6
1533,1534,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,United States of America,0.6
680,681,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Nigeria,1.0
1013,1014,RoomMaster,The Room staff,Free Trial,Mid-career Leader,AL Staff,checked,female,123.0,Kenya,0.3
1627,1628,RoomMaster,Joined post-Sprint - June,Staff Membership,Young Leader,AL Staff,checked,female,153.0,Rwanda,0.4
921,922,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
102,103,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
1545,1546,RoomMaster,DSLP Nairobi 2020,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
1677,1678,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1696,1697,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,153.0,South Africa,0.4
704,705,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,female,214.0,Kenya,0.6
24,25,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Parent,checked,male,214.0,Kenya,0.6
1640,1641,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,366.0,Kenya,1.0
354,355,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
691,692,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214.0,Nigeria,0.6
248,249,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
1401,1402,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
779,780,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2019,checked,female,214.0,Nigeria,0.6
447,448,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,Nigeria,0.6
190,191,RoomMaster,ALU staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,Rwanda,0.6
1001,1002,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,female,214.0,South Africa,0.6
145,146,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Uganda,1.0
1077,1078,RoomMaster,Existing Room member,Free Trial,Senior Leader,Investor,checked,male,214.0,South Africa,0.6
1007,1008,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1536,1537,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,184.0,South Africa,0.5
